450.000 	401.247 	160.382
500.000 	500.091 	280.596
550.000 	501.189 	200.479
600.000 	500.434 	200.484
950.000 	799.731 	321.475
1000.000 	996.966 	564.588
1050.000 	999.294 	401.849
1100.000 	998.542 	401.849
1450.000 	1198.176 	481.864
1500.000 	1499.991 	853.620
1550.000 	1497.348 	602.343
1600.000 	1496.595 	602.336
1950.000 	1598.179 	640.581
2000.000 	1995.766 	1131.003
2050.000 	1997.350 	800.736
2100.000 	1996.603 	800.730
2450.000 	1993.666 	810.532
2500.000 	2490.816 	1414.493
2550.000 	2491.715 	1013.163
2600.000 	2490.953 	1013.164
2950.000 	2391.091 	969.992
3000.000 	2998.866 	1722.703
3050.000 	2988.490 	1212.497
3100.000 	2987.742 	1212.489
